"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20110101","2011","52","2011","276","DEU","Germany","X","Export","0","W00","World","0","W00","World","H3","HS","true","010410","Sheep; live","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","45397","false","5","u","45397","false","1442565","false",,"false",,"5762008.552","5762008.552","0","false","true",
"C","A","20110101","2011","52","2011","276","DEU","Germany","M","Import","0","W00","World","0","W00","World","H3","HS","true","010420","Goats; live","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","39","false","5","u","39","false","1670","false",,"false","9953.041",,"9953.041","0","false","true",
"C","A","20110101","2011","52","2011","276","DEU","Germany","X","Export","0","W00","World","0","W00","World","H3","HS","true","010420","Goats; live","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","386","false","5","u","386","false","12231","false",,"false",,"287783.807","287783.807","0","false","true",
"C","A","20110101","2011","52","2011","276","DEU","Germany","M","Import","0","W00","World","0","W00","World","H3","HS","true","010511","Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","154898697","false","5","u","154898697","false","6528264","false",,"false","93291267.889",,"93291267.889","0","false","true",
"C","A","20110101","2011","52","2011","276","DEU","Germany","X","Export","0","W00","World","0","W00","World","H3","HS","true","010511","Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","58708699","false","5","u","58708699","false","2567745","false",,"false",,"118649333.339","118649333.339","0","false","true",
"C","A","20110101","2011","52","2011","276","DEU","Germany","M","Import","0","W00","World","0","W00","World","H3","HS","true","010512","Poultry; live, weighing not more than 185g, turkeys","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","486021","false","5","u","486021","false","28114","false",,"false","3034018.403",,"3034018.403","0","false","true",
"C","A","20110101","2011","52","2011","276","DEU","Germany","X","Export","0","W00","World","0","W00","World","H3","HS","true","010512","Poultry; live, weighing not more than 185g, turkeys","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","11276105","false","5","u","11276105","false","779289","false",,"false",,"33247719.723","33247719.723","0","false","true",
"C","A","20110101","2011","52","2011","276","DEU","Germany","M","Import","0","W00","World","0","W00","World","H3","HS","true","010519","Poultry; live, weighing not more than 185g, ducks, geese and guinea fowls","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","3990207","false","5","u","3990207","false","281786","false",,"false","3349208.703",,"3349208.703","0","false","true",
"C","A","20110101","2011","52","2011","276","DEU","Germany","X","Export","0","W00","World","0","W00","World","H3","HS","true","010519","Poultry; live, weighing not more than 185g, ducks, geese and guinea fowls","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","338568","false","5","u","338568","false","25663","false",,"false",,"2716876.486","2716876.486","0","false","true",
"C","A","20110101","2011","52","2011","276","DEU","Germany","M","Import","0","W00","World","0","W00","World","H3","HS","true","010594","Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","23785768","false","5","u","23785768","false","42289138","false",,"false","63046221.62",,"63046221.62","0","false","true",
