"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","292690","Nitrile-function compounds; other than acrylonitrile, 1-cyanoguanidine (dicyandiamide) and fenproporex (INN) and its salts - methadone (INN) intermediate (4-cyano-2-dimethylamino-4,4-diphenylbutane","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","12294073","false","-1","N/A",,"false","12294073","false",,"false","75678051",,"75678051","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","292700","Diazo-, azo- or azoxy compounds","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4411439","false","-1","N/A",,"false","4411439","false",,"false","26089403",,"26089403","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","282919","Chlorates; other than sodium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","70000","false","-1","N/A",,"false","70000","false",,"false","115790",,"115790","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","282990","Perchlorates; bromates and perbromates; iodates and periodates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","941707","false","-1","N/A",,"false","941707","false",,"false","9257527",,"9257527","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","283010","Sulphides; of sodium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1132024","false","-1","N/A",,"false","1132024","false",,"false","1016141",,"1016141","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","283090","Sulphides and polysulphides; n.e.c. in heading no. 2830","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1856926","false","-1","N/A",,"false","1856926","false",,"false","20054825",,"20054825","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","283110","Dithionites and sulphoxylates; of sodium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8021294","false","-1","N/A",,"false","8021294","false",,"false","10627456",,"10627456","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","283190","Dithionites and sulphoxylates; other than sodium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3600","false","-1","N/A",,"false","3600","false",,"false","52080",,"52080","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","283210","Sulphites; of sodium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4676050","false","-1","N/A",,"false","4676050","false",,"false","2749666",,"2749666","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","283220","Sulphites; other than of sodium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","76186","false","-1","N/A",,"false","76186","false",,"false","169114",,"169114","0","true","false",
