"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","020130","Meat; of bovine animals, boneless cuts, fresh or chilled","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","397192825","false","-1","N/A",,"false","397192825","false",,"false",,"2285873808","2285873808","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","020210","Meat; of bovine animals, carcasses and half-carcasses, frozen","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","423615","false","-1","N/A",,"false","423615","false",,"false",,"2175127","2175127","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","M","Import","0","W00","World","0","W00","World","H3","HS","true","020220","Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4869753","false","-1","N/A",,"false","4869753","false",,"false","17220369",,"17220369","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","020220","Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","82591069","false","-1","N/A",,"false","82591069","false",,"false",,"374489041","374489041","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","M","Import","0","W00","World","0","W00","World","H3","HS","true","020230","Meat; of bovine animals, boneless cuts, frozen","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","338497173","false","-1","N/A",,"false","338497173","false",,"false","1490186551",,"1490186551","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","020230","Meat; of bovine animals, boneless cuts, frozen","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","374829691","false","-1","N/A",,"false","374829691","false",,"false",,"1692681048","1692681048","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","M","Import","0","W00","World","0","W00","World","H3","HS","true","020311","Meat; of swine, carcasses and half-carcasses, fresh or chilled","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1066","false","-1","N/A",,"false","1066","false",,"false","14849",,"14849","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","020311","Meat; of swine, carcasses and half-carcasses, fresh or chilled","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","14637903","false","-1","N/A",,"false","14637903","false",,"false",,"32426232","32426232","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","M","Import","0","W00","World","0","W00","World","H3","HS","true","020312","Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","57049259","false","-1","N/A",,"false","57049259","false",,"false","161456733",,"161456733","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","020312","Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","233314689","false","-1","N/A",,"false","233314689","false",,"false",,"510261460","510261460","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","M","Import","0","W00","World","0","W00","World","H3","HS","true","020319","Meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","146002392","false","-1","N/A",,"false","146002392","false",,"false","495210066",,"495210066","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","020319","Meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","326846010","false","-1","N/A",,"false","326846010","false",,"false",,"1563584905","1563584905","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","020321","Meat; of swine, carcasses and half-carcasses, frozen","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","18793403","false","-1","N/A",,"false","18793403","false",,"false",,"55453488","55453488","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","M","Import","0","W00","World","0","W00","World","H3","HS","true","020322","Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4232308","false","-1","N/A",,"false","4232308","false",,"false","11833213",,"11833213","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","020322","Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","102428370","false","-1","N/A",,"false","102428370","false",,"false",,"239707396","239707396","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","M","Import","0","W00","World","0","W00","World","H3","HS","true","020329","Meat; of swine, n.e.c. in item no. 0203.2, frozen","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","82235804","false","-1","N/A",,"false","82235804","false",,"false","325977185",,"325977185","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","020329","Meat; of swine, n.e.c. in item no. 0203.2, frozen","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","853244877","false","-1","N/A",,"false","853244877","false",,"false",,"2291029724","2291029724","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","010619","Mammals; live, other than primates, whales, dolphins and porpoises (order Cetacea), manatees and dugongs (order Sirenia)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","523958","false","-1","N/A",,"false",,"false",,"false",,"33686414","33686414","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","M","Import","0","W00","World","0","W00","World","H3","HS","true","010619","Mammals; live, other than primates, whales, dolphins and porpoises (order Cetacea), manatees and dugongs (order Sirenia)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","385935","false","-1","N/A",,"false","266893","true",,"false","25117044",,"25117044","4","true","false",
